AOT	S05700
AAL	S01416
ATA	S12873
ASO	S01062
ATE	S12409
ANO	S07423
ARA	S09215
ALE	S12328
AAA	S08715
ADA	S11722
AAC	S01913
ASA	S11736
AVA	S12209
ADF	S11504
ASF	S12026
AIT	S00867
ABL	S11907
AIA	S05420
AON	S11872
ACC	S00804
AOB	S12213
AOC	S12216
AIC	S11705
ACA	S00514
ALL	S04481
ANN	S01515
ALA	S02049
ANA	S07708
AFV	S02566
AIO	S04515
ABA	S00825
AAN	S07800
ANI	S07207
ADL	S11453
AOL	S08704
ASR	S01534
AVV	S09004
ADO	S02538
AEC	S01310
AET	S01450
AGA	S04516
ASE	S08001
AII	S08003
ALO	S04529
ASN	S01209
ASS	S00033
ANZ	S01863
AOD	S12150
ARR	S12320
AIR	S00470
AAS	S08908
ANE	S05808
AEB	S00809
AIE	S12310
ACV	S08202
ANG	S00216
ARU	S11307
ARE	S04810
AAI	S09511
AAM	S12011
AAT	S02444
AIS	S06407
ANV	S08206
AEA	S11744
AEM	S01527
ALD	S11051
AAO	S11807
AIM	S09306
AIF	S08658
ANC	S07113
AAR	S07116
AAE	S07015
ATT	S02141
ARO	S04513
ARI	S09812
ARL	S08318
AEV	S02769
ANT	S06727
ABV	S07408
AOO	S07435
AVS	S08537
ADP	S01453
AIZ	S08709
AOA	S08713
ATS	S00137
AAU	S00143
AVE	S00146
AST	S09314
ANP	S08328
ANR	S11024
AIL	S08705
AIN	S09623
AAD	S12370
AIB	S06811
ACE	S08861
ATI	S01203
ALC	S06006
ARC	S01510
ARD	S12817
AOM	S01427
RAR	S11853
AAP	S01947
ARN	S04533
AZO	S06915
ATN	S05804
AOI	S09316
NAR	S01020
NRA	S08859
AAV	S04207
AUA	S05707
ALI	S08516
RAN	S03021
AER	S00134
AEE	S11711
ANS	S06813
AMO	S06825
AIP	S07550
IAA	S11203
ALS	S01847
ANM	S12889
ASI	S07008
SAS	S01101
TAS	S00462
NAT	S09904
ANL	S08207
ATU	S12345
ATL	S09902
ALU	S06168
AAG	S06013
ANU	S03550
AVN	S09514
ASV	S09006
NAV	S08526
NVA	S03087
VAN	S00214
AOU	S11214
AIV	S02050
SAV	S00133
ALV	S12426
BIC	S11119
BAC	S05043
BAP	S02370
BTO	S11841
BIA	S12008
BLO	S05902
BRA	S11770
BAA	S03123
BCO	S00921
BDL	S06308
BDT	S08504
BAT	S09102
BII	S09613
BOM	S01901
BDS	S07224
BRI	S00460
BTE	S12122
BNO	S08856
BOR	S09830
BLA	S00178
BTT	S00732
BNN	S09832
BLL	S09458
BLE	S01932
BNA	S05905
BSI	S12971
BNL	S12041
BIH	S00202
BAG	S06303
BPM	S11118
BPN	S11148
BPS	S11125
BSS	S11116
BSA	S11513
BSG	S11150
BTA	S11126
BTC	S05419
BLI	S11208
BTL	S11108
BSN	S09520
BIM	S08204
BNI	S02832
BDG	S02520
BIT	S08208
BOO	S08312
BIS	S07007
BAM	S00908
BAE	S05702
BIL	S09823
BUM	S12875
BNE	S01015
BNZ	S00807
BRD	S00203
BFI	S07422
BTN	S00901
BSO	S01864
BTR	S01017
BAO	S09831
BTM	S01409
BER	S07902
BIR	S05817
BTS	S11512
BGO	S00985
BOS	S07061
BNU	S02559
BEC	S11743
BEM	S11732
BTV	S09311
BAN	S09530
BPR	S09509
BET	S06158
BDA	S12859
BCC	S00838
BMO	S01529
BDD	S11460
BNS	S01488
TBE	S01145
BZO	S01141
BAZ	S01007
BRR	S04482
BUA	S02391
BIG	S05119
BCN	S11855
BZE	S00238
BIN	S01438
BLP	S01483
BNB	S00522
BCA	S12338
BAV	S00970
BSP	S00070
BCR	S06611
BSM	S06950
BIE	S11113
BNG	S00870
BOV	S01202
BPD	S11501
BOD	S03313
BAR	S09763
BCS	S04709
BON	S09453
BRE	S06028
BBP	S05100
BCV	S05046
BAL	S05725
BAF	S05020
BAI	S05140
AAB	S05042
BSR	S05130
NBO	S02026
BOE	S00014
BOU	S02226
BLS	S04730
BSC	S09464
BRO	S02383
BVA	S12867
BRH	S04503
BTH	S02051
BOP	S06100
BST	S04518
BOI	S04521
BGG	S09526
BAB	S06410
BOA	S06309
BFP	S04214
BOL	S00032
BEO	S00171
BSL	S06604
BSE	S06704
BAS	S00315
BSD	S00613
BOT	S00981
BVD	S06161
BVC	S02313
BVE	S02314
BOC	S00246
BTF	S02338
BCF	S00152
BDO	S01830
BRN	S00016
BNR	S00210
BTG	S00860
BIO	S00104
RBO	S12872
SBN	S02390
OBE	S09452
BLR	S09754
BLC	S11829
ZBB	S11860
BNV	S11854
OEB	S09321
NOB	S02363
BLZ	S01920
RBR	S00821
BNC	S08315
NBR	S04803
NRB	S11857
BZZ	S00231
BSY	S00622
ALB	S01452
RRB	S02001
IBR	S01717
ABR	S01930
ABO	S01805
RBN	S02014
BCI	S11757
IRB	S00521
BRS	S11136
BDM	S11451
IBA	S11137
RNB	S00113
BLH	S06614
BOF	S12031
YZZ	S01944
BLN	S02030
BRL	S00424
BCU	S02107
YZB	S00837
BLU	S00209
OBS	S09828
BUN	S06911
OBA	S03088
BRG	S08538
BTU	S06874
BLF	S12016
BZN	S00054
BUL	S04215
BUC	S00704
BLM	S02563
BUT	S01963
BSU	S07704
NBU	S00208
BOZ	S01031
BVV	S01482
BRT	S05301
BIU	S03029
CEO	S05006
CRI	S12891
CIE	S12890
COM	S00879
CAS	S12851
CPC	S02550
CNA	S00833
CNO	S12321
CMI	S12151
CCA	S02307
CNN	S11455
CIO	S01712
CDE	S01117
CRO	S02437
CZO	S02308
CNZ	S06417
CIP	S09620
CEE	S01524
CTI	S11815
CNE	S12270
CAC	S12381
CAX	S12380
CGA	S00020
CCO	S01503
CSO	S00158
CNS	S01843
CLC	S06043
CNI	S06804
COS	S00456
CSG	S12207
COL	S01316
CSF	S04716
CSP	S09825
CLO	S07219
CAM	S06031
CDC	S08706
CDG	S08903
CDA	S08919
CDN	S09626
CDT	S02007
CSS	S09459
CDM	S12112
COR	S12385
CGO	S02527
CCE	S12017
CCC	S12211
CRR	S09505
CNL	S08602
COI	S09462
CEM	S04105
CRE	S11454
CNR	S11020
CLA	S12815
CII	S06659
CSL	S11745
CNG	S06324
CRP	S02525
CTO	S05314
CAA	S06921
CRA	S08735
CLL	S09213
COA	S09002
CLE	S11204
CLD	S00071
CAE	S00157
CAL	S00333
CDD	S11105
CLI	S00512
CAO	S01011
CTE	S01034
CLN	S00832
CRT	S07429
CTT	S12375
CGG	S12812
CRN	S07009
CDB	S11406
COO	S01848
CDP	S11402
CDS	S09451
CTU	S01451
CUC	S01313
CSR	S01970
COE	S11702
CCI	S12128
CIB	S08006
CLP	S08672
CLR	S08850
COB	S11734
CDO	S12030
COT	S11858
CPF	S07215
CEN	S08525
CBA	S01603
CCN	S08311
LCA	S08110
CAV	S09061
LAC	S01622
CVA	S03301
CUA	S09208
CEC	S01486
CIG	S01602
CNB	S05120
CAI	S04300
CAU	S12818
COZ	S12140
CNT	S00839
CTA	S11818
CTM	S01315
CAN	S12127
CTC	S12799
CIS	S00055
CLG	S00601
CDR	S02532
CEU	S01511
CIA	S03016
CIN	S12025
CNV	S11133
CIR	S08914
CNP	S02502
CPI	S02349
OCE	S00971
NCA	S09050
CAZ	S06005
CON	S08533
CBB	S12326
CUN	S00738
CLS	S08519
CCB	S08730
CAG	S09465
CLB	S11309
COP	S07821
CNU	S09910
NAC	S01609
CET	S00314
CEP	S00179
CED	S05101
COG	S05111
CIL	S00972
COV	S01604
CRG	S01850
CVO	S09216
CGN	S01827
CSA	S02830
CNC	S06505
