TERME EUGANEE-ABANO-MONTEGROTTO	S05700
ABBADIA LARIANA	S01416
ABBASANTA	S12873
ABBIATEGRASSO	S01062
ACATE	S12409
ACCIANO	S07423
ACERRA	S09215
ACIREALE	S12328
ACQUA ACETOSA	S08715
ACQUAFREDDA	S11722
ACQUANEGRA CREMONESE	S01913
ACQUAPPESA	S11736
ACQUAVIVA-CASTELTERMINI	S12209
ACQUAVIVA DELLE FONTI	S11504
ACQUEDOLCI-S.FRATELLO	S12026
ACQUI TERME	S00867
ACRI-BISIGNANO-LUZZI	S11907
ADRIA	S05420
AFRICO NUOVO	S11872
AGLIANO-CASTELNUOVO CALCEA	S00804
AGRIGENTO BASSA	S12213
AGRIGENTO CENTRALE	S12216
AGRIGENTO CENTRALE	S12216
AGROPOLI-CASTELLABATE	S11705
AIRASCA	S00514
AIROLE	S04481
AIRUNO	S01515
ALA	S02049
ALANNO	S07708
ALANO-FENER-VALDOBBIADENE	S02566
ALASSIO	S04515
ALBA	S00825
ALBA ADRIATICA-NERETO-CONTROGUERRA	S07800
ALBACINA	S07207
ALBANO DI LUCANIA	S11453
ALBANO LAZIALE	S08704
ALBANO S. ALESSANDRO	S01534
ALBANOVA	S09004
ALBAREDO	S02538
ALBATE-CAMERLATA	S01310
ALBATE TRECALLO	S01450
ALBENGA	S04516
ALBERESE	S08001
ALBINIA	S08003
ALBISOLA	S04529
ALBIZZATE-SOLBIATE ARNO	S01209
ALBONESE	S00033
ALBUZZANO	S01863
ALCAMO DIRAMAZIONE	S12150
ALCANTARA	S12320
ALESSANDRIA	S00470
ALFEDENA-SCONTRONE	S08908
ALFONSINE	S05808
ALICE BELCOLLE	S00809
ALI TERME	S12310
ALLERONA-CASTEL VISCARDO	S08202
ALPIGNANO	S00216
ALTAMURA	S11307
ALTARE	S04810
ALTAVILLA IRPINA	S09511
ALTAVILLA MILICIA	S12011
ALTAVILLA-TAVERNELLE	S02444
ALTOPASCIO	S06407
ALVIANO	S08206
AMANTEA	S11744
AMBIVERE-MAPELLO	S01527
AMENDOLA	S11051
AMENDOLARA-ORIOLO	S11807
AMOROSI-MELIZZANO	S09306
ANAGNI-FIUGGI	S08658
ANCONA	S07113
ANCONA M.MA	S07116
ANCONA TORRETTE	S07015
ANCONETTA	S02141
ANDORA	S04513
ANGRI	S09812
ANGUILLARA	S08318
ANNONE VENETO	S02769
ANTIGNANO	S06727
ANTRODOCO-BORGO VELINO	S07408
ANTRODOCO CENTRO	S07435
ANVERSA-VILLALAGO-SCANNO	S08537
ANZANO DEL PARCO	S01453
ANZIO	S08709
ANZIO COLONIA	S08713
AOSTA	S00137
AOSTA ISTITUTO	S00143
AOSTA VIALE EUROPA	S00146
APICE-S. ARCANGELO-BONITO	S09314
APPIANO PROBA PETRONIA	S08328
APRICENA	S11024
APRILIA	S08705
AQUILONIA	S09623
ARAGONA-CALDARE	S12370
ARBIA	S06811
ARCE	S08861
ARCISATE	S01203
ARCOLA	S06006
ARCORE	S01510
ARDARA	S12817
ARDENNO-MASINO	S01427
ARDORE	S11853
ARENA PO	S01947
ARENZANO	S04533
AREZZO	S06915
ARGENTA	S05804
ARIANO IRPINO	S09316
ARONA	S01020
ARPINO	S08859
ARQUATA SCRIVIA	S04207
ARQUA	S05707
ARSOLI	S08516
ARTEGNA	S03021
ARVIER	S00134
ASCEA	S11711
ASCIANO	S06813
ASCIANO-MONTE OLIVETO MAGGIORE	S06825
ASCOLI PICENO	S07550
ASCOLI SATRIANO	S11203
ASOLA	S01847
ASSEMINI	S12889
ASSISI	S07008
ASSO	S01101
ASTI	S00462
ATENA	S09904
ATTIGLIANO-BOMARZO	S08207
AUGUSTA	S12345
AULETTA	S09902
AULLA LUNIGIANA	S06168
AULLA LUNIGIANA	S06013
AURISINA	S03550
AVELLINO	S09514
AVERSA	S09006
AVEZZANO	S08526
AVIANO	S03087
AVIGLIANA	S00214
AVIGLIANO LUCANIA	S11214
AVIO	S02050
AVISE	S00133
AVOLA	S12426
BARI CENTRALE	S11119
BARI CENTRALE	S11119
BOLOGNA CENTRALE	S05043
BOLOGNA CENTRALE	S05043
BADIA POLESINE	S02370
BADOLATO	S11841
BAGHERIA	S12008
BAGNACAVALLO	S05902
BAGNARA	S11770
BAGNARIA ARSA	S03123
BAGNASCO	S00921
BAGNI DI LUCCA	S06308
BAGNI DI TIVOLI	S08504
BAGNOLI-AGNANO TERME	S09102
BAGNOLI IRPINO	S09613
BAGNOLO MELLA	S01901
BAIANO DI SPOLETO	S07224
BALDICHIERI-TIGLIOLE	S00460
BALESTRATE	S12122
BALSORANO	S08856
BALVANO-RICIGLIANO	S09830
BALZOLA	S00178
BANDITO	S00732
BARAGIANO-RUOTI	S09832
BARANELLO	S09458
BARBIANELLO	S01932
BARBIANO	S05905
	S12971
BARCELLONA-CASTROREALE	S12041
BARDONECCHIA	S00202
BARGA-GALLICANO	S06303
BARI PALESE-MACCHIE	S11118
BARI PARCO NORD	S11148
BARI PARCO SUD	S11125
BARI S. SPIRITO	S11116
BARI S. ANDREA	S11513
BARI S. ANDREA	S11150
BARI TORRE A MARE	S11126
BARICETTA	S05419
BARILE	S11208
BARLETTA	S11108
BARONISSI	S09520
BASCHI-MONTECCHIO	S08204
BASILIANO	S02832
BASSANO DEL GRAPPA	S02520
BASSANO IN TEVERINA	S08208
BASSANO ROMANO	S08312
BASTIA	S07007
BASTIA MONDOVI	S00908
BATTAGLIA TERME	S05702
BATTIPAGLIA	S09823
BAULADU-MILIS	S12875
BAVENO	S01015
BAZZANA	S00807
BEAULARD	S00203
BEFFI	S07422
BEINETTE	S00901
BELGIOIOSO	S01864
BELGIRATE	S01017
BELLA-MURO	S09831
BELLANO-TARTAVALLE TERME	S01409
BELLANTE-RIPATTONE	S07902
BELLARIA	S05817
BELLAVISTA	S11512
BELLINZAGO	S00985
BELLISIO SOLFARE	S07061
BELLUNO	S02559
BELMONTE CALABRO	S11743
BELVEDERE MARITTIMO	S11732
BENEVENTO	S09311
BENEVENTO ARCO TRAIANO	S09530
BENEVENTO PORTA RUFINA	S09509
BERCETO	S06158
BERCHIDDA	S12859
BERGAMASCO	S00838
BERGAMO	S01529
