Abano Terme	AOT	19904
Abbadia Lariana	AAL	11264
Abbasanta	ATA	608
Abbiategrasso	ASO	14912
Acate	ATE	4704
Acciano	ANO	14752
Acerra	ARA	544
Acireale	ALE	4448
Acqua Acetosa	AAA	0
Acquafredda	ADA	96
Acquanegra Cremonese	AAC	2048
Acquappesa	ASA	576
Acquaviva	AVA	672
Acquaviva Delle Fonti	ADF	5216
Acquedolci-S.Fratello	ASF	5696
Acqui Terme	AIT	19712
Acri Bisignano Luzzi	ABL	11296
Adria	AIA	256
Africo Nuovo	AON	13760
Agliano Castelnuovo Calcea	ACC	2112
Agrigento Bassa	AOB	1472
Agrigento Centrale	AOC	2496
Agropoli Castellabate	AIC	2304
Airasca	ACA	64
Airole	ALL	11616
Airuno	ANN	13728
Ala	ALA	352
Alanno	ANA	416
Alano Fener Valdobbiadene	AFV	21664
Alassio	AIO	14592
Alba	ABA	32
Alba Adriatica Nereto Contr.	AAN	13312
Albacina	ANI	8608
Albano Di Lucania	ADL	11360
Albano Laziale	AOL	11712
Albano S.Alessandro	ASR	17984
Albanova	AVV	22176
Albaredo	ADO	14432
Albate Camerlata	AEC	2176
Albate-Trecallo	AET	19584
Albenga	AGA	192
Alberese	ASE	4672
Albinia	AII	8448
Albisola	ALO	14688
Albizzate Solbiate Arno	ASN	13888
Albonese	ASS	19008
Albuzzano	ANZ	26016
Alcamo Diramazione	AOD	3520
Alcantara	ARR	17952
Alessandria	AIR	17664
Alfedena-Scontrone	AAS	18432
Alfonsine	ANE	4512
Alice Belcolle	AEB	1152
Ali` Terme	AIE	4352
Allerona-Castel Viscardo	ACV	21568
Alpignano	ANG	6560
Altamura	ARU	21024
Altare	ARE	4640
Altavilla Irpina	AAI	8192
Altavilla M.	AAM	12288
Altavilla Tavernelle	AAT	19456
Altopascio	AIS	18688
Alviano	ANV	21920
Amantea	AEA	128
Ambivere Mapello	AEM	12416
Amendola	ALD	3424
Amendolara Oriolo	AAO	14336
Amorosi Melizzano	AIM	12544
Anagni-Fiuggi	AIF	5376
Ancona	ANC	2464
Ancona Marittima	AAR	17408
Ancona Torrette	AAE	4096
Anconetta	ATT	20064
Andora	ARO	14880
Angri	ARI	8736
Anguillara	ARL	11808
Annone Veneto	AEV	21632
Antignano	ANT	19872
Antrodoco Borgo Velino	ABV	21536
Antrodoco Centro	AOO	14784
Anversa-Villalago-Scanno	AVS	19104
Anzano Del Parco	ADP	15456
Anzio	AIZ	25856
Anzio Colonia	AOA	448
Aosta	ATS	19040
Aosta Istituto	AAU	20480
Aosta Viale Europa	AVE	4768
Apice S.Arcangelo Bonito	AST	20032
Appiano	ANP	15776
Apricena	ANR	17824
Aprilia	AIL	11520
Aquilonia	AIN	13568
Aragona Caldare	AAD	3072
Arbia	AIB	1280
Arce	ACE	4160
Arcisate	ATI	8800
Arcola	ALC	2400
Arcore	ARC	2592
Ardara	ARD	3616
Ardenno Masino	AOM	12736
Ardore	ZRR	17977
Arena Po	AAP	15360
Arenzano	ZNR	17849
Arezzo	AZO	15136
Argenta	ATN	13920
Ariano Irpino	AOI	8640
Arona	YZZ	26424
Arpino	YZR	18232
Arquata Scrivia	AAV	21504
Arqua`	AUA	640
Arsoli	ALI	8544
Artegna	YNZ	26040
Arvier	AER	17536
Ascea	AEE	4224
Asciano	ANS	18848
Asciano Monte Oliveto Maggiore	AMO	14720
Ascoli Piceno	AIP	15616
